其 O
他 O
配 O
置 O
上 O
, O
该 O
机 O
正 O
面 O
使 O
用 O
水 B_screen
滴 I_screen
屏 I_screen
, O
同 O
时 O
搭 O
载 O
高 B_value
通 I_value
骁 I_value
龙 I_value
6 I_value
6 I_value
0 I_value
, O
配 O
备 O
3 B_value
5 I_value
0 I_value
0 I_value
I I_value
A I_value
h I_value
电 B_e
池 I_e
, O
另 O
外 O
该 O
机 O
采 O
用 O
后 O
置 O
指 O
纹 O
识 O
别 O
, O
机 O
身 O
左 O
侧 O
设 O
有 O
独 O
立 O
A O
I O
按 O
键 O
, O
使 O
用 O
T O
y O
p O
I O
- O
C O
接 O
口 O
, O
保 O
留 O
3 O
. O
5 O
I O
I O
耳 O
机 O
接 O
口 O
。 O
三 O
摄 O
工 O
整 O
的 O
放 O
置 O
在 O
了 O
机 O
身 O
左 O
上 O
角 O
, O
下 O
方 O
是 O
一 O
颗 O
闪 O
光 O
灯 O
, O
背 O
面 O
上 O
方 O
三 O
分 O
之 O
一 O
出 O
则 O
是 O
非 O
常 O
具 O
有 O
标 O
志 O
性 O
的 O
“ O
I O
I O
I O
Z O
U O
” O
l O
o O
g O
o O
。 O
配 O
置 O
方 O
面 O
, O
联 B_product
想 I_product
Z I_product
6 I_product
搭 O
载 O
了 O
高 B_value
通 I_value
骁 I_value
龙 I_value
7 I_value
3 I_value
0 I_value
处 B_processor
理 I_processor
器 I_processor
, O
主 B_processor
频 I_processor
为 O
2 B_value
. I_value
2 I_value
G I_value
H I_value
z I_value
, O
相 O
对 O
上 O
代 O
单 O
核 O
性 O
能 O
提 O
升 O
了 O
3 O
5 O
% O
; O
其 O
他 O
方 O
面 O
, O
L B_product
G I_product
G I_product
8 I_product
S I_product
T I_product
h I_product
i I_product
n I_product
Q I_product
内 O
置 O
3 B_value
5 I_value
5 I_value
0 I_value
I I_value
A I_value
h I_value
电 B_e
池 I_e
, O
通 O
过 O
I O
I O
D O
- O
S O
T O
D O
- O
8 O
1 O
0 O
G O
军 O
用 O
测 O
试 O
并 O
且 O
支 O
持 O
I O
P O
6 O
8 O
级 O
别 O
防 O
尘 O
防 O
水 O
。 O
的 O
朋 O
友 O
可 O
以 O
静 O
待 O
诺 B_product
基 I_product
亚 I_product
官 O
宣 O
, O
本 O
站 O
也 O
将 O
在 O
第 O
一 O
时 O
间 O
跟 O
进 O
这 O
款 O
诺 B_product
基 I_product
亚 I_product
新 O
机 O
的 O
相 O
关 O
信 O
息 O
。 O
索 O
尼 O
2 B_value
4 I_value
0 I_value
0 I_value
万 I_value
像 B_pixel
